Player_Name
Dosedel S.
Clement A.
Escude N.
Knippschild J.
Fromberg R.
Arthurs W.
Grosjean S.
Balcells J.
Hewitt L.
Tebbutt M.
Martin A.
Draper S.
Petrovic D.
Pozzi G.
Stoltenberg J.
Goldstein P.
Enqvist T.
Lisnard J.
Sekulov J.
Norman M.
Vinck C.
Henman T.
Kumar S.
Behrend T.
Rochus C.
Delgado J.
Spottl M.
Hantschk M.
Kroslak J.
Ketola T.
Zib T.
Paes L.
Ram A.
Sanguinetti D.
Kilderry P.
Tabara M.
Ishii Y.
Vinciguerra A.
Agenor R.
Jonsson F.
Vanek J.
Manta L.
Golmard J.
Pioline C.
Damm M.
Bastl G.
Al-Alawi S.K.
Caratti C.
Arazi H.
El Aynaoui Y.
Luxa P.
Kiefer N.
Puerta M.
Santoro F.
Diaz J.
Schuettler R.
Siemerink J.
Tillstrom M.
Vicente F.
Gaudio G.
Marin J.A.
Squillari F.
Cherkasov A.
Schalken S.
Mirnyi M.
Chang M.
Federer R.
Gambill J.M.
Sargsian S.
Gustafsson M.
Tarango J.
Johansson T.
Berasategui A.
Bjorkman J.
Rosset M.
Ivanisevic G.
Sell M.
Woodruff C.
Ferrero J.C.
Novak J.
Kuerten G.
Hrbaty D.
Costa A.
Koubek S.
Lapentti N.
Safin M.
Martin T.
Vacek D.
Spadea V.
Corretja A.
Ilie A.
Voinea A.
Ljubicic I.
Alami K.
Alonso J.
Black W.
Boutter J.
Dupuis A.
Parmar A.
Ferreira W.
Motomura G.
Haas T.
Karbacher B.
Kafelnikov Y.
Canas G.
Medvedev A.
Llodra M.
Black B.
Mamiit C.
Philippoussis M.
O'Brien A.
Sampras P.
Blanco G.
Sluiter R.
Sirianni J.
Srichaphan P.
Tieleman L.
Lareau S.
Ullyett K.
Stanoytchev O.
Woodbridge T.
Mantilla F.
Agassi A.
Hill M.
Portas A.
Burgsmuller L.
Gross O.
Prinosil D.
Pavel A.
Raoux G.
Courier J.
Salzenstein J.
Gimelstob J.
Blake J.
Gumy H.
Rodriguez M.
Liukko V.
Woodforde M.
Massu N.
Larsson M.
MacPhie B.
Jensen L.
Pretzsch A.
Popp A.
Reneberg R.
Sa A.
Dewulf F.
Kucera K.
Wessels P.
Rusedski G.
Saulnier C.
Zabaleta M.
Chela J.I.
Etlis G.
Bruguera S.
Viloca J.A.
di Pasquale A.
Heuberger I.
Bryan M.
Clavet F.
Stark J.
Hipfl M.
van Lottum J.
Roddick A.
Rafter P.
Malisse X.
Calatrava A.
Calleri A.
Ulihrach B.
Alvarez E.
Hood M.
Gonzalez P.
Hadad M.
Prieto S.
Ondruska M.
Meligeni F.
